old_name,replace_name
People's_Republic_of_China,China
Democratic_Republic_of_the_Congo,DR_Congo
Republic_of_the_Congo,Congo
United_States_of_America,USA
Central_African_Republic,Central_African_Rep
The_Gambia,Gambia
The_Bahamas,Bahamas
Republic_of_Macedonia,Macedonia
Bosnia_and_Herzegovina,Bosnia-Herzegovinia
eSwatini,Swaziland
